iter	Passed	Remaining
735	9572465	3433601
736	9585037	3420440
737	9597572	3407268
738	9610168	3394118
739	9622824	3380992
740	9635435	3367851
741	9648047	3354711
742	9660421	3341491
743	9672825	3328283
744	9685257	3315088
745	9697569	3301853
746	9709973	3288652
747	9722451	3275478
748	9734976	3262321
749	9747652	3249217
750	9760280	3236098
751	9772716	3222917
752	9785163	3209741
753	9797439	3196512
754	9809878	3183338
755	9822346	3170175
756	9834761	3156997
757	9847205	3143830
758	9859689	3130678
759	9872105	3117506
760	9884564	3104350
761	9896969	3091179
762	9909331	3077996
763	9921757	3064836
764	9934159	3051669
765	9946616	3038522
766	9959048	3025369
767	9971399	3012193
768	9983834	2999045
769	9996258	2985895
770	10008716	2972757
771	10021179	2959622
772	10033626	2946485
773	10045981	2933322
774	10058298	2920151
775	10070715	2907010
776	10083157	2893879
777	10095606	2880751
778	10108056	2867625
779	10120493	2854498
780	10132921	2841369
781	10145349	2828243
782	10157760	2815113
783	10170212	2801997
784	10182681	2788887
785	10195145	2775777
786	10207592	2762664
787	10220052	2749557
788	10232525	2736454
789	10246347	2723712
790	10260127	2710956
791	10273203	2698013
792	10286628	2685160
793	10299512	2672165
794	10312984	2659322
795	10327105	2646645
796	10340524	2633784
797	10353186	2620731
798	10365929	2607699
799	10378655	2594663
800	10391327	2581615
801	10404052	2568581
802	10416772	2555546
803	10429450	2542502
804	10442180	2529472
805	10454930	2516447
806	10467774	2503445
807	10480495	2490414
808	10493128	2477364
809	10505863	2464338
810	10518591	2451311
811	10531295	2438280
812	10544023	2425255
813	10556761	2412232
814	10569460	2399202
815	10582746	2386305
816	10596206	2373446
817	10609065	2360452
818	10622309	2347543
819	10635745	2334675
820	10649150	2321800
821	10662591	2308930
822	10676170	2296090
823	10689621	2283220
824	10703181	2270371
825	10717120	2257601
826	10731246	2244867
827	10745723	2232203
828	10759138	2219315
829	10772149	2206343
830	10785143	2193368
831	10798083	2180382
832	10810931	2167377
833	10823954	2154408
834	10836912	2141425
835	10849614	2128393
836	10862404	2115378
837	10875098	2102346
838	10887760	2089308
839	10900510	2076287
840	10914156	2063437
841	10927229	2050477
842	10940016	2037464
843	10952727	2024437
844	10965456	2011415
845	10978222	1998399
846	10990943	1985376
847	11003729	1972366
848	11016416	1959339
849	11029110	1946313
850	11041865	1933299
851	11054583	1920279
852	11067358	1907270
853	11080116	1894258
854	11092768	1881229
855	11105540	1868221
856	11118269	1855207
857	11130981	1842190
858	11143756	1829184
859	11156467	1816169
